bmw,100,v10,diesel
Ferrari,2.99,Violet,Opela
Chevrolet,22.99,Green,Bitwolf
GMC,2.99,Khaki,Span
Chrysler,29.99,Crimson,Namfix
Chevrolet,39.99,Blue,Bigtax
Buick,5.49,Fuscia,Overhold
Porsche,2.29,Teal,Bitwolf
Hummer,1.99,Aquamarine,Aerified
Audi,4.99,Indigo,Wrapsafe
Mitsubishi,4.29,Green,Cookley
Lexus,3.99,Puce,Konklab
Dodge,39.99,Red,Bigtax
Audi,49.99,Blue,Duobam
GMC,8.99,Turquoise,Zathin
Subaru,4.99,Green,Matsoft
Mercury,1.99,Puce,Opela
Chrysler,39.99,Puce,Zaam-Dox
Plymouth,3.49,Puce,Stringtough
Suzuki,299.99,Mauv,Veribet
Ford,79.99,Pink,Zoolab
Mercedes-Benz,49.99,Aquamarine,Kanlam
Porsche,39.99,Orange,Stronghold
Mercedes-Benz,6.99,Turquoise,Holdlamis
Nissan,29.99,Goldenrod,Zoolab
Subaru,3.49,Aquamarine,Zontrax
Pontiac,5.99,Maroon,Biodex
Audi,24.99,Blue,Opela
Oldsmobile,3.99,Khaki,Solarbreeze
Chevrolet,24.99,Fuscia,Y-Solowarm
Volvo,4.99,Yellow,Ventosanzap
Nissan,6.49,Fuscia,Andalax
Buick,3.49,Red,Bitchip
Subaru,9.99,Crimson,Veribet
Chevrolet,3.29,Blue,Tres-Zap
Mazda,49.99,Teal,Rank
Honda,99.99,Blue,Toughjoyfax
Mercedes-Benz,2.49,Aquamarine,Solarbreeze
Dodge,6.99,Teal,Voltsillam
Kia,5.49,Indigo,Zathin
Hyundai,24.99,Goldenrod,Flowdesk
Pontiac,34.99,Mauv,Zamit
Chrysler,3.99,Orange,Voyatouch
Lamborghini,29.99,Orange,Tres-Zap
Chevrolet,3.49,Green,Cardguard
Honda,18.99,Teal,Prodder
Lexus,7.99,Fuscia,Pannier
Isuzu,6.99,Turquoise,Tampflex
Pontiac,54.99,Mauv,Rank
GMC,24.99,Turquoise,Fixflex
Lexus,14.99,Yellow,Solarbreeze
